,date,rate,symbol,sentiment,count
306,31:58.1,9261,BTCUSDT,0.562273078,52
307,32:59.6,9260.97,BTCUSDT,0.419917392,69
308,34:01.1,9256.01,BTCUSDT,0.483423809,42
309,35:02.8,9257.04,BTCUSDT,0.293088137,59
310,36:04.2,9262.99,BTCUSDT,0.438171998,50
311,37:05.6,9269.99,BTCUSDT,0.41600612,49
312,38:07.3,9274.51,BTCUSDT,0.465908621,58
313,39:08.7,9281.42,BTCUSDT,0.469582856,70
314,40:10.4,9279.25,BTCUSDT,0.417382978,47
315,41:11.9,9278,BTCUSDT,0.399242857,56
316,42:13.3,9278,BTCUSDT,0.491032295,96
317,43:15.0,9278.01,BTCUSDT,0.443660564,71
318,44:16.6,9281.8,BTCUSDT,0.413120895,67
319,45:18.7,9277.01,BTCUSDT,0.500455715,70
320,46:20.6,9279.83,BTCUSDT,0.388215788,76
321,47:22.1,9276,BTCUSDT,0.479904617,65
322,48:23.6,9275,BTCUSDT,0.49598125,64
323,49:25.1,9271,BTCUSDT,0.43155614,57
324,50:26.5,9275,BTCUSDT,0.476863462,52
325,51:28.0,9274.94,BTCUSDT,0.381278571,56
326,52:29.5,9271.99,BTCUSDT,0.435510343,58
327,53:31.1,9269.99,BTCUSDT,0.444859998,55
328,54:32.5,9269.99,BTCUSDT,0.429417308,52
329,55:34.2,9266.64,BTCUSDT,0.403663416,41
330,56:35.7,9263.74,BTCUSDT,0.442207274,55
331,57:37.5,9251.76,BTCUSDT,0.476576744,43
332,58:39.1,9252.42,BTCUSDT,0.436235135,37
333,59:40.6,9260.61,BTCUSDT,0.377273034,89
334,00:42.1,9255.7,BTCUSDT,0.407856523,69
335,01:43.6,9265.42,BTCUSDT,0.451281251,64
336,02:45.1,9264.05,BTCUSDT,0.44998909,55
337,03:46.7,9264.32,BTCUSDT,0.495906977,43
338,04:48.1,9266.34,BTCUSDT,0.435845099,51
339,05:49.6,9274.97,BTCUSDT,0.465357139,56
340,06:51.1,9279.1,BTCUSDT,0.56971818,55
341,07:52.6,9273.63,BTCUSDT,0.421152176,46
342,08:54.2,9275,BTCUSDT,0.439040003,50
343,09:55.8,9284.95,BTCUSDT,0.470221425,42
344,10:57.2,9280,BTCUSDT,0.492381668,60
345,11:59.1,9289.98,BTCUSDT,0.428164442,45
346,13:00.5,9309,BTCUSDT,0.39960612,49
347,14:02.0,9309,BTCUSDT,0.445073173,41
348,15:03.8,9306.74,BTCUSDT,0.479802,50
349,16:05.5,9301.69,BTCUSDT,0.402538982,59
350,17:07.0,9300,BTCUSDT,0.477748979,49
351,18:08.6,9281.02,BTCUSDT,0.378580001,50
352,19:10.1,9287.01,BTCUSDT,0.517608954,67
353,20:11.7,9290,BTCUSDT,0.52986949,59
354,21:13.4,9299.65,BTCUSDT,0.530715489,71
355,22:14.9,9290.09,BTCUSDT,0.501990622,64
356,23:16.5,9288.85,BTCUSDT,0.501970172,57
357,24:18.4,9285.56,BTCUSDT,0.410654997,40
358,25:20.2,9279.63,BTCUSDT,0.384560978,41
359,26:21.9,9274,BTCUSDT,0.394757575,33
360,27:23.4,9270.02,BTCUSDT,0.525094,50
361,28:25.3,9267.5,BTCUSDT,0.557306816,44
362,29:26.7,9272.98,BTCUSDT,0.523353702,54
363,30:28.6,9270.09,BTCUSDT,0.493021948,41
364,31:30.1,9273,BTCUSDT,0.40824423,52
365,32:31.6,9275,BTCUSDT,0.388440739,54
366,33:33.1,9275.17,BTCUSDT,0.455488096,42
367,34:34.8,9276.99,BTCUSDT,0.500678001,50
368,35:36.3,9281,BTCUSDT,0.46071282,39
369,36:37.8,9285,BTCUSDT,0.505153847,39
370,37:39.2,9281.71,BTCUSDT,0.558333332,42
371,38:41.0,9280.01,BTCUSDT,0.347485713,35
372,39:42.8,9279.04,BTCUSDT,0.465745617,57
373,40:44.2,9285,BTCUSDT,0.542184615,52
374,41:45.8,9286.01,BTCUSDT,0.544699999,59
375,42:47.3,9284.02,BTCUSDT,0.381544998,40
376,43:48.7,9287.67,BTCUSDT,0.479409678,31
377,44:50.4,9282.49,BTCUSDT,0.566321621,37
378,45:52.2,9282,BTCUSDT,0.397696228,53
379,46:53.6,9284.99,BTCUSDT,0.42285283,53
380,47:55.2,9282.22,BTCUSDT,0.433483332,42
381,48:57.1,9289.49,BTCUSDT,0.512573336,45
382,49:58.6,9280.24,BTCUSDT,0.490617945,39
383,51:00.1,9277.02,BTCUSDT,0.515529823,57
384,52:01.8,9278,BTCUSDT,0.450323809,42
385,53:03.4,9276.5,BTCUSDT,0.380527998,50
386,54:04.9,9279.86,BTCUSDT,0.587256757,37
387,55:06.8,9289.39,BTCUSDT,0.428007017,57
388,56:08.2,9286,BTCUSDT,0.452555264,38
389,57:09.7,9285,BTCUSDT,0.421478434,51
390,58:11.2,9288,BTCUSDT,0.485275,52
391,59:12.6,9286.58,BTCUSDT,0.354156922,65
392,00:14.1,9280,BTCUSDT,0.410384414,77
393,01:16.0,9286,BTCUSDT,0.452498112,53
394,02:17.5,9295,BTCUSDT,0.450602942,68
395,03:19.0,9293.63,BTCUSDT,0.470951725,58
396,04:20.4,9293.63,BTCUSDT,0.362671738,46
397,05:22.1,9284.8,BTCUSDT,0.423429416,51
398,06:24.1,9289.84,BTCUSDT,0.462264998,60
399,07:25.6,9283,BTCUSDT,0.448822501,40
400,08:27.1,9282.99,BTCUSDT,0.434796078,51
401,09:28.6,9280,BTCUSDT,0.538349997,64
402,10:30.2,9289.98,BTCUSDT,0.456076187,63
403,11:31.7,9286,BTCUSDT,0.367937498,48
404,12:33.5,9288.9,BTCUSDT,0.50939649,57
405,13:35.0,9283.25,BTCUSDT,0.462655105,49
406,14:36.5,9283.39,BTCUSDT,0.358256097,41
407,15:38.3,9281,BTCUSDT,0.373407143,42
408,16:39.8,9256.33,BTCUSDT,0.534829268,41
409,17:41.3,9258,BTCUSDT,0.369698275,58
410,18:42.9,9256.29,BTCUSDT,0.453077585,58
411,19:44.8,9256.21,BTCUSDT,0.40627551,49
412,20:46.3,9268.41,BTCUSDT,0.438080357,56
413,21:47.8,9259.97,BTCUSDT,0.447035713,56
414,22:49.2,9252.38,BTCUSDT,0.421699999,48
415,23:50.7,9252.01,BTCUSDT,0.489204544,66
416,24:52.2,9257,BTCUSDT,0.411007937,63
417,25:53.7,9266,BTCUSDT,0.477341175,51
418,26:55.2,9259.54,BTCUSDT,0.480311539,52
419,27:56.6,9262,BTCUSDT,0.452229089,55
420,28:58.3,9259.99,BTCUSDT,0.377346003,50
421,29:59.8,9260.02,BTCUSDT,0.468192212,77
422,31:01.5,9262.98,BTCUSDT,0.412881537,65
423,32:03.1,9264,BTCUSDT,0.462467347,49
424,33:05.1,9264,BTCUSDT,0.428878181,55
425,34:06.6,9260.04,BTCUSDT,0.487365573,61
426,35:08.1,9251,BTCUSDT,0.557890324,62
427,36:09.6,9038.79,BTCUSDT,0.496315382,52
428,37:11.1,9249.97,BTCUSDT,0.50570465,43
429,38:12.5,9240.02,BTCUSDT,0.485969091,55
430,39:14.5,9245.97,BTCUSDT,0.434668571,70
431,40:15.9,9245.95,BTCUSDT,0.602542425,66
432,41:17.4,9247.5,BTCUSDT,0.513887995,50
433,42:19.1,9246.86,BTCUSDT,0.413663791,58
434,43:20.6,9246.92,BTCUSDT,0.488708887,45
435,44:22.2,9236.06,BTCUSDT,0.422415513,58
436,45:23.8,9227.51,BTCUSDT,0.516270455,44
437,46:25.2,9225.23,BTCUSDT,0.517054387,57
438,47:26.8,9038.79,BTCUSDT,0.458560415,48
439,48:28.3,9216.85,BTCUSDT,0.500826154,65
440,49:29.8,9201,BTCUSDT,0.348025756,66
441,50:31.3,9207.99,BTCUSDT,0.489250767,65
442,51:32.9,9199.93,BTCUSDT,0.357218032,61
443,52:35.0,9188.04,BTCUSDT,0.493477417,62
444,53:36.5,9188.01,BTCUSDT,0.590425643,39
445,54:38.0,9208.91,BTCUSDT,0.371175863,58
446,55:39.5,9204.13,BTCUSDT,0.433720689,58
447,56:40.9,9199,BTCUSDT,0.535682218,45
448,57:42.4,9205,BTCUSDT,0.511281034,58
449,58:43.8,9213.65,BTCUSDT,0.500606155,65
450,59:45.3,9207.01,BTCUSDT,0.344728888,90
451,00:46.8,9207,BTCUSDT,0.423962498,80
452,01:48.2,9198,BTCUSDT,0.459795081,61
453,02:49.7,9185.86,BTCUSDT,0.596664516,62
454,03:51.2,9194,BTCUSDT,0.50390612,49
455,04:52.6,9171,BTCUSDT,0.505996717,61
456,05:54.1,9186.53,BTCUSDT,0.464106671,60
457,06:55.5,9178.02,BTCUSDT,0.435888336,60
458,07:57.0,9179,BTCUSDT,0.516345309,64
459,08:58.5,9180.86,BTCUSDT,0.482837498,64
460,10:00.0,9208.49,BTCUSDT,0.500250876,57
461,11:01.5,9220,BTCUSDT,0.542342251,71
462,12:03.0,9204.99,BTCUSDT,0.492450903,55
463,13:04.7,9203.94,BTCUSDT,0.342473999,50
464,14:06.2,9218.96,BTCUSDT,0.449961664,60
465,15:07.7,9215.02,BTCUSDT,0.513817911,67
466,16:09.1,9212.02,BTCUSDT,0.533192422,66
467,17:11.2,9212.98,BTCUSDT,0.463439999,60
468,18:12.6,9212.99,BTCUSDT,0.501242028,69
469,19:14.3,9214.96,BTCUSDT,0.493658439,77
470,20:15.7,9214.97,BTCUSDT,0.514156523,69
471,21:17.2,9224.97,BTCUSDT,0.51416167,60
472,22:18.7,9215.13,BTCUSDT,0.418001513,66
473,23:20.1,9210,BTCUSDT,0.478287037,54
474,24:21.9,9211.89,BTCUSDT,0.4475,58
475,25:23.9,9196.71,BTCUSDT,0.455622504,40
476,26:25.5,9200.33,BTCUSDT,0.420700001,50
477,27:27.0,9209.54,BTCUSDT,0.43080196,51
478,28:28.4,9205,BTCUSDT,0.484500001,58
479,29:29.9,9210,BTCUSDT,0.403028787,66
480,30:31.4,9207.01,BTCUSDT,0.47650857,70
481,31:32.8,9208,BTCUSDT,0.453552856,70
482,32:34.3,9206.04,BTCUSDT,0.512951428,70
483,33:35.7,9206.01,BTCUSDT,0.482256248,64
484,34:37.6,9206.12,BTCUSDT,0.400615716,70
485,35:39.2,9205.02,BTCUSDT,0.543495382,65
486,36:40.8,9203.82,BTCUSDT,0.508563749,80
487,37:42.6,9208,BTCUSDT,0.550591547,71
